id_ccbh,interpro_go_id
PA4851_01675,F:GO:0050662
PA4851_01680,F:GO:0005215
PA4851_01680,C:GO:0016021
PA4851_01680,P:GO:0055085
PA4851_01685,no GO terms
PA4851_01690,F:GO:0016787
PA4851_01695,F:GO:0003824
PA4851_01695,F:GO:0005515
PA4851_01695,P:GO:0009401
PA4851_01695,P:GO:0016310
PA4851_01695,F:GO:0016772
PA4851_01700,F:GO:0000155
PA4851_01700,P:GO:0000160
PA4851_01700,F:GO:0005515
PA4851_01705,no GO terms
PA4851_01710,C:GO:0016021
PA4851_01715,C:GO:0016020
PA4851_01715,F:GO:0016757
PA4851_01715,P:GO:0042158
PA4851_01720,F:GO:0004799
PA4851_01720,P:GO:0006231
PA4851_01725,no GO terms
PA4851_01730,F:GO:0005525
PA4851_01735,no GO terms
PA4851_01740,no GO terms
PA4851_01745,P:GO:0006629
PA4851_01745,F:GO:0008081
PA4851_01750,no IPS match
PA4851_01755,no IPS match
PA4851_01760,F:GO:0004146
PA4851_01760,P:GO:0006545
PA4851_01760,P:GO:0046654
PA4851_01760,F:GO:0050661
PA4851_01760,P:GO:0055114
PA4851_01765,no GO terms
PA4851_01770,F:GO:0005215
PA4851_01770,C:GO:0016020
PA4851_01770,C:GO:0016021
PA4851_01770,F:GO:0022857
PA4851_01770,P:GO:0055085
PA4851_01775,F:GO:0003824
PA4851_01775,F:GO:0004160
PA4851_01775,P:GO:0009082
PA4851_01780,F:GO:0003723
PA4851_01780,F:GO:0008168
PA4851_01785,no GO terms
PA4851_01790,no GO terms
PA4851_01795,F:GO:0003676
PA4851_01795,F:GO:0003684
PA4851_01795,F:GO:0003906
PA4851_01795,P:GO:0006281
PA4851_01795,P:GO:0006284
PA4851_01795,P:GO:0006289
PA4851_01795,F:GO:0008270
PA4851_01795,F:GO:0008534
PA4851_01795,F:GO:0016799
PA4851_01800,F:GO:0016746
PA4851_01805,no IPS match
PA4851_01810,F:GO:0005515
PA4851_01815,P:GO:0006751
PA4851_01815,F:GO:0036374
PA4851_01820,no GO terms
PA4851_01825,F:GO:0003824
PA4851_01825,F:GO:0004595
PA4851_01825,F:GO:0008771
PA4851_01825,P:GO:0009058
PA4851_01825,P:GO:0015937
PA4851_01830,F:GO:0016614
PA4851_01830,F:GO:0050660
PA4851_01830,P:GO:0055114
PA4851_01835,no GO terms
PA4851_01840,P:GO:0006081
PA4851_01840,F:GO:0016491
PA4851_01840,F:GO:0016620
PA4851_01840,P:GO:0055114
PA4851_01845,F:GO:0003677
PA4851_01850,no GO terms
PA4851_01855,no GO terms
PA4851_01860,no IPS match
PA4851_01865,F:GO:0008168
PA4851_01865,P:GO:0031167
PA4851_01870,F:GO:0003824
PA4851_01870,F:GO:0046872
PA4851_01875,F:GO:0003824
PA4851_01875,F:GO:0046872
PA4851_01880,F:GO:0005525
PA4851_01880,P:GO:0006614
PA4851_01885,F:GO:0005524
PA4851_01885,F:GO:0016887
PA4851_01885,P:GO:0051301
PA4851_01890,C:GO:0016021
PA4851_01895,F:GO:0003677
PA4851_01895,F:GO:0003700
PA4851_01895,P:GO:0006352
PA4851_01895,P:GO:0006355
PA4851_01895,F:GO:0016987
PA4851_01900,no IPS match
PA4851_01905,P:GO:0009252
PA4851_01905,C:GO:0009274
PA4851_01905,C:GO:0016021
PA4851_01905,F:GO:0016763
PA4851_01910,no GO terms
PA4851_01915,no GO terms
PA4851_01920,F:GO:0003824
PA4851_01920,P:GO:0009228
PA4851_01925,P:GO:0006400
PA4851_01925,F:GO:0008176
PA4851_01930,no GO terms
PA4851_01935,no IPS match
PA4851_01940,no GO terms
PA4851_01945,F:GO:0003824
PA4851_01945,F:GO:0004109
PA4851_01945,C:GO:0005737
PA4851_01945,P:GO:0006779
PA4851_01945,F:GO:0051536
PA4851_01945,P:GO:0055114
PA4851_01950,P:GO:0009143
PA4851_01950,F:GO:0017111
PA4851_01950,F:GO:0047429
PA4851_01955,no GO terms
